question,answer
"When did the UG programme in Electronics and Communication Engineering start?","The UG programme in Electronics & Communication Engineering started in 1980 in the Department of Electrical Engineering."
"When did the PG programme in Digital Systems and Communication start?","The PG programme in Digital Systems and Communication started in 1994."
"When was the Department of Electronics and Communication Engineering established as a separate entity?","The Department of Electronics Engineering was established in 1997 following the trifurcation of the Department of Electrical Engineering."
"What PG programmes are currently offered by the ECE Department?","The department offers PG programmes in Electronic Design & Technology, Microelectronics & VLSI Design, Telecommunication, and Signal Processing."
"How does the ECE Department keep its courses and labs updated?","The syllabi of the courses are continuously updated, and the laboratories are modernized to reflect rapid changes in technology."
"What research opportunities are available in the ECE Department?","The department offers high-quality research programmes at the Ph.D. level in a variety of areas."
"What is the vision of the ECE Department?","The Department of Electronics and Communication Engineering is envisioned to be a leading centre of higher learning with academic excellence in the field of electronics and communication engineering."
"What is the mission of the ECE Department?","The mission of the Department of Electronics and Communication Engineering is to impart high-quality technical education by offering undergraduate, graduate, and research programmes in the domain of electronics and communication engineering, with a strong foundation in theory and hands-on design, laboratory components, tools, and skills necessary for students to become successful contributors to society and the profession."
"Who are the department faculty from 2020-2023?","The list of department faculty during 2020-2023 is available in the department file."

