Title,Date
NIT Calicut's IEEE Student Branch has been recognized with the Outstanding Student Branch of the Year Award by the IEEE India Council,"Jan 02, 2025"
"Fifteenth Lecture in the Prof. M.N Neelakantan Memorial Lecture Series, organized by the Computer Science & Engineering Department","Dec 30, 2024"
The IEEE Student Branch NIT Calicut has successfully organized Hack4Good,"Dec 28, 2024"
Reconnect 99 - Alumni from the 99 graduates celebrated their Silver Jubilee Reunion at NIT Calicut,"Dec 22, 2024"
International Conference on Materials for Energy Environment and Healthcare (MEEHCON) 2024 was inaugurated at NIT Calicut on 20th December 2024,"Dec 20, 2024"
World Meditation Day 2024,"Dec 19, 2024"
"International Conference on Materials for Energy, Environment and Healthcare (MEEHCON) 2024 will be held at NIT Calicut during 20-21 December 2024","Dec 19, 2024"
"Centre for Women Welfare and Social Empowerment, in collaboration with the Internal Complaints Committee (ICC) organized an expert lecture on Prevention of Sexual Harassment at Workplace","Dec 19, 2024"
NIT Calicut champions in All India Inter NIT Chess Tournament,"Dec 18, 2024"
Math Beyond the Classroom‘: Workshop at NIT Calicut,"Dec 17, 2024"
Institute Health Centre of NITC in coordination with Cipla Oncology organized a Talk and Interactive Session on Cancer Awareness,"Dec 17, 2024"
IEEE SB NITC has been honored with the Outstanding Student Branch Award by the IEEE Kerala Section,"Dec 15, 2024"
COPEN13 concludes at NITC,"Dec 15, 2024"
"The 13th International Conference on Precision, Meso, Micro, and Nano Engineering (COPEN13)","Dec 15, 2024"
I3th International Conference on Precision Engineering (COPEN 13) Inaugurated at NIT Calicut,"Dec 13, 2024"
"IntPurple Technologies, a TBI NIT Calicut startup, has introduced FelixaTouch, a healthcare solution","Dec 12, 2024"
NITC to host the National Cyber Security Conclave 1.0 from 17th - 18th of January 2025,"Dec 11, 2024"
"Centre for Indian Knowledge Systems and official language Unit of NITC jointly organized ""Bharatiya Bhasha Utsav""","Dec 11, 2024"
"NIT Calicut to Organise COPEN 13, 13th International Conference on Precision, Micro, Meso and Nano Engineering","Dec 10, 2024"
"Short Term Training Programme (4th Batch) for Officers of Kerala Police, organized by CITRA , CSED and CCESD commenced on 09th December 2024","Dec 09, 2024"
"NIT Calicut inaugurated ""Shobhindran Thanaloram Project"" organized by NSS units of Providence Women's College","Dec 08, 2024"
International Conference on Interdisciplinary Research in Technical and Management (IRTM 2024) held at NIT Calicut,"Dec 07, 2024"
"Short Term Training Programme (3rd Batch) for Officers of Kerala Police, organized by CITRA, CSED and CCESD","Dec 05, 2024"
MCA - 1999 Batch Reunion at NIT Calicut,"Nov 30, 2024"
"National Workshop on ""Advances in Graph Algorithms: Theory and Applications (AGATHA 2024)""","Nov 29, 2024"
"Students from PM Shri Kendriya Vidyalaya, Ezhimala visits NIT Calicut","Nov 28, 2024"
NIT Calicut Commemorates Constitution Day with Enthusiasm and Insight,"Nov 26, 2024"
NIT Calicut Honored for Women in STEM Excellence,"Nov 19, 2024"
MoU between NIT Calicut and Kalpetta Bar Association - Time Capsule Project,"Nov 19, 2024"
Department of Mathematics conducts an insightful talk on Simulations of Pedestrian Flows Coupled with Disease Contagion Models by a Meshfree Particle Method,"Nov 18, 2024"
NIT Calicut Commemorates Janjatiya Gaurav Diwas with Grand Celebrations,"Nov 15, 2024"
NIT Calicut Unveils Renovated 25m Swimming Pool - ‘JALADHI’,"Nov 12, 2024"
NIT Calicut Launches 5-Day Training Program for Navodaya Vidyalaya Teachers,"Nov 11, 2024"
IndiaAI Mission fellowships for three Students of NIT Calicut,"Nov 08, 2024"
Vigilance Awareness Week 2024,"Oct 28, 2024"
"ICC conducts a talk on ""Role of Faculties as Torch Bearers of POSH Awareness”","Oct 28, 2024"
Tathva 2024 Tech Fest concludes at NIT Calicut,"Oct 27, 2024"
Tathva’24 Tech Fest : Technology Meets Gaming Arena,"Oct 26, 2024"
NIT Alumnus Professor Maruthi Akella Honored with Minor Planet Named after him,"Oct 25, 2024"
Tathva’24 Tech Fest opens to huge crowds on Day 1,"Oct 25, 2024"
NITC inaugurated the newly established Chanakya Hall,"Oct 24, 2024"
NIT Calicut presents Tathva 2024,"Oct 23, 2024"
NIT Calicut Hosts IEDC SUMMIT’24: Empowering Innovation and Entrepreneurship,"Oct 19, 2024"
Team from NIT Calicut made their presence at Semicon India 2024:,"Oct 11, 2024"
NIT Calicut Observes Swachhata Hi Seva Campaign,"Oct 02, 2024"
Patented work on Tubular Reactor for Phenolic Resole Resin,"Sep 30, 2024"
